Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 25.85, , , , , , , , , , , 20, , , , , , , , , , , , , , , , , , , , , , 
Afghanistan, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 25.32, 24.79, 24.25, 23.72, 23.19, 22.66, 22.13, 21.6, 21.06, 20.53, , 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20
Albania, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , 0.67, , , , , , , , , , , , , , , , , , , , 0.64, 0.64, 0.7, 0.65, 0.69, 0.55
Albania, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.06, , , , , , 0.52, , , , , , , , , , , , , , 
Albania, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.93, 0.87, 0.8, 0.74, , 0.75, 0.83, 0.9, 0.98, , 0.97, 0.88, 0.79, 0.7, 0.61, , 0.53, 0.54, 0.56, 0.57, 0.59, 0.6, 0.61, 0.63, , , , , , 
Algeria, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 2.22, , , , , , , , , , 2.7, , , , , , , , , , , , , , , , , , , , , , , , , 6.21, 6.4, 6.67, , , 
Algeria, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.5, , , , , , , , , , , 4.99, , , , , , , , 
Algeria, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 2.29, 2.37, 2.44, 2.52, 2.59, 2.61, 2.63, 2.66, 2.68, , 2.77, 2.85, 2.92, 2.99, 3.06, 3.14, 3.21, 3.28, 3.36, 3.43, , 3.64, 3.77, 3.91, 4.04, 4.18, 4.31, 4.45, 4.58, 4.72, 4.85, , 5.4, 5.8, , , , 6.67, 6.67, 6.67
Angola, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Angola, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.21, , , , , 0.15, , , , , , , , , , , , , , , 
