Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Gross Domestic Product (GDP), current US$, X, 800000046, 1006666638, 1399999966, 1673333419, 1373333367, 1408888923, 1731435587, 1812837521, 1647900178, 1702716294, 2061729287, 2319753506, 2513580659, 2864939207, 3222963833, 3630767856, 3646796868, 3427482014, 3430645143, 3408204613, 3369110951, 3330465681, 3320888887, 2983743471, 2713899488, 3191557068, 3559511736, 3402654940, 3444711414, 2844442641, 1715169169, 2756838036, 2669785634, 2924589326, 2935139404, 2157197316, 3342034168, 3598470576, 4141523943, 4729042179, 5388482107, 6220574147, 7104711445, 9412161765, 10236901594, 11595133469, 14698889678, 17350694945, 19136499341, 19621802455, 19550702567, 18713048410, 18019558182, 18896352021, 18418848300, 18904490263, 19793262413
Albania, Gross Domestic Product (GDP), current US$, X, , , , , , , 2265577056, 2330584860, 2397526448, 2466543461, 2537015817, 2610110369, 2685745678, 2760746397, 2842275926, 2372305641, 2141837051, 2215474766, 2280424885, 2305384485, 2275736342, 2324414456, 2397086883, 2378194810, 2460399974, 2940586487, 2145751209, 1597139589, 1516132824, 1700439125, 1880950821, 2392764887, 3199642024, 2224654241, 2554868837, 3221670165, 3487586302, 3926887597, 4355865889, 5561459461, 7177030365, 8052079314, 8896076004, 10677322220, 12881352058, 12044210390, 11926948284, 12890873323, 12319779604, 12776280738, 13228240079, 11386924853, 11861356451, 13019729856, 15156439968, 15400237155, 14909619335
Algeria, Gross Domestic Product (GDP), current US$, X, 2909340110, 3136284384, 3039859262, 3370870459, 3852147121, 4257253368, 5155120658, 5363676160, 7176428384, 9229622200, 13259764650, 15555547083, 17750032488, 20990939140, 26373761387, 33201433009, 42252197741, 44264573122, 45094842770, 48702201863, 52827902259, 57866207279, 62922803868, 64333578322, 58655419182, 55344476937, 61751375957, 46565003199, 49105553595, 50846930343, 42330711146, 41971488420, 46836290499, 48068457028, 48079007974, 48531031757, 54666896857, 55056733057, 56819210891, 67863851626, 85332517817, 103198216067, 117027277939, 134977088396, 171000692135, 137211008421, 161207306305, 200019103013, 209059083118, 209755003251, 213809979480, 165979118791, 160034211700, 170096984537, 175415180411, 171158234285, 147688693830
Andorra, Gross Domestic Product (GDP), current US$, X, , , , , , , 99476787, 113128492, 143506004, 190863792, 236055468, 278514317, 287588366, 321390137, 389745929, 520742333, 564812657, 492189978, 475654368, 414836776, 417649689, 438742504, 609881940, 773493497, 912838474, 1006552718, 1302006184, 1400576915, 1531034035, 1274297409, 1287524766, 1491495988, 1548787643, 1493901088, 1533515782, 1568801032, 1429044662, 1546913267, 1755992896, 2361635625, 2895042252, 3159831266, 3456261316, 3952395237, 4085783663, 3674186277, 3446565601, 3624386229, 3188830334, 3192603086, 3267334446, 2788757749, 2894646184, 3000160225, 3218419456, 3155149348, 2864399402
Angola, Gross Domestic Product (GDP), current US$, X, , , , , , , 3806982080, 4007445384, 4102154515, 5016276243, 5626960654, 4147433125, 3980906823, 4344224828, 4845481540, 5380155365, 7151262407, 6693017100, 6693017100, 6975014062, 7393602901, 9109025042, 8548514005, 9843778337, 10627491537, 12367075841, 13661852350, 16182941506, 18586043029, 13468133856, 13860715824, 6642229262, 8725773842, 10226790656, 8617787794, 8227190091, 12207354573, 11948601236, 15285592487, 17812704626, 23552045850, 36970878079, 52381025105, 65266415707, 88538664888, 70307193221, 83799478930, 111789745968, 128052913438, 136709891897, 145712175328, 116193647513, 101123830010, 122123858628, 101353211652, 89417189120, 62306915569
Antigua and Barbuda, Gross Domestic Product (GDP), current US$, X, , , , , , , 33865823, 41156057, 56405489, 78360329, 83529500, 85416591, 71000877, 80823635, 91503578, 112682448, 134449620, 152098678, 168525878, 187261032, 211924459, 244778860, 290440741, 337174074, 398637037, 438796296, 459470370, 481707407, 499281481, 535174074, 589429630, 577281481, 633729630, 680618519, 727859259, 766200000, 783837037, 773766667, 802529630, 839996296, 898355556, 1014981481, 1149025926, 1302388889, 1370070370, 1228329630, 1148700000, 1137637037, 1199948148, 1181448148, 1249733333, 1336692593, 1436585185, 1467977778, 1605944444, 1687533333, 1370351852
Argentina, Gross Domestic Product (GDP), current US$, X, 25605249382, 28344705967, 28630474728, 24256667553, 26436857247, 31256284544, 33984527481, 40656247705, 38310468037, 43140630753, 48535084322, 51660389690, 54697557257, 61570256911, 63778202228, 73916297161, 81764369519, 84652806574, 87041466175, 94170342210, 99524448940, 95529910653, 114734842768, 117919338027, 137512093210, 83044458652, 153185723202, 205589521324, 247929419773, 256573074883, 279266992407, 279701425371, 295030768611, 317532579013, 324135104738, 307410162020, 308148233467, 291334718272, 110583590317, 140444139675, 165947750429, 200622205937, 234391234167, 289755142707, 365644376650, 336359389616, 426487434874, 530158176682, 581430904393, 613316027357, 567050145343, 644903200499, 557532317366, 643628396191, 517626853947, 445445254556, 383067158673
Armenia, Gross Domestic Product (GDP), current US$, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1251976343, 1168728174, 1257275245, 1372097033, 1703037605, 1747514993, 2017852886, 1968057835, 2038534803, 2259108208, 2534163311, 2993550393, 3814176694, 5225971850, 6808524718, 9817806812, 12436664185, 9222356746, 9875377779, 10815777611, 10619320693, 11121464430, 11609513241, 10553337528, 10546136240, 11527458713, 12457940705, 13619290546, 12641210873
Australia, Gross Domestic Product (GDP), current US$, X, 23754059805, 25925635569, 27250531974, 30378541830, 32641953186, 36606562885, 45151687230, 50397075841, 59314570241, 85674837700, 102142222267, 108963388934, 117409102871, 116340753601, 135735986468, 150254697327, 173234252017, 201805397847, 191869491167, 192229834876, 206203640121, 181745169926, 190985918349, 226784438936, 287158064705, 319358741522, 323549309554, 329071143461, 325632536056, 316722881079, 361591444836, 391094358364, 434546469497, 436474491235, 389577812515, 426567953805, 408774988018, 390108834372, 435171313118, 558422134392, 678337418023, 760939512578, 818233984854, 985139395309, 1057010486407, 1014835716679, 1299463076449, 1546688928146, 1590707559043, 1543216347504, 1464444524638, 1247634399291, 1310104586643, 1416783718751, 1458952688944, 1380207832899, 1423472702121
Austria, Gross Domestic Product (GDP), current US$, X, 9169983886, 9994070616, 10887682273, 11579431669, 12440625313, 13582798556, 15373056894, 17858749698, 22060179956, 29514760528, 35188342682, 40058428685, 42959105617, 51547566800, 62050455509, 73940789595, 82055323544, 71031275399, 71272755267, 72118456194, 67984559664, 69388407938, 99035642853, 124172996179, 133333463418, 133104414997, 166467815849, 173789681002, 195071776032, 190369885933, 203545936673, 241054444975, 237264783294, 212786266750, 218254630506, 217179476080, 196799627787, 197336113323, 213387477629, 261685687441, 300917298368, 315966559717, 335981345831, 388671495783, 430310227057, 400148193471, 391892746545, 431120310089, 409425234155, 430068712972, 441996131737, 381817565894, 395568644341, 417261151845, 455168151939, 445011872704, 433258467677
