Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Afghanistan, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.13, , , , , 0.17, , , , , , , , , , , , , , , 
Afghanistan, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, , 0.14, 0.14, 0.15, 0.16, , 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17
Albania, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.11, 0.1, 0.2, 0.02
Albania, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.23, , , , , 0.23, , , , , , , , , , , , , , , 
Albania, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.11, 0.13, 0.14, 0.15, 0.16, 0.18, 0.19, 0.2, 0.21, , 0.23, 0.23, 0.23, 0.23, , 0.22, 0.21, 0.2, 0.19, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, , , , 
Algeria, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 0.12, , , , , , , , , , 0.68, , , , , , , , , , , , , , , , , , , , , , , , , 0.12, 0.19, 0.19, , , 
Algeria, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.5, , , , , , , , , , , , 0.41, , , , , , , , 
Algeria, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 0.12, 0.13, 0.13, 0.14, 0.14, 0.25, 0.36, 0.46, 0.57, , 0.66, 0.64, 0.63, 0.61, 0.59, 0.57, 0.55, 0.54, 0.52, , 0.49, 0.49, 0.48, 0.47, 0.46, 0.46, 0.45, 0.44, 0.44, 0.43, 0.42, , 0.32, 0.22, , , , 0.19, 0.19, 0.19
Angola, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Angola, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.18, , , , , 0.24, , , , , , , , , , , , , , , 
Angola, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, , 0.2, 0.21, 0.22, 0.23, , 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24
Antigua and Barbuda, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Antigua and Barbuda, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Antigua and Barbuda, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Argentina, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.5, , , , , , , , , , , , , , , , 4, , , , , , , , , 
Argentina, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.98, , , , , , , , , , , , , , , , , , , , 
Argentina, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.79, 3.09, 3.38, 3.68, , 3.98, 3.98, 3.98, 3.98, 3.99, 3.99, 3.99, 3.99, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4
Armenia, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.12, , , , , , , , , , , , , , , , 0.19, 0.23, 0.12, 0.17, 0.11, 0.11, 0.12, 0.13, 0.12, 0.19
Armenia, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.09, , 0.08, 0.09, 0.12, 0.1, 0.13, , , , , , , , , , , , , , 
Armenia, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.11, 0.11, 0.1, 0.1, , 0.08, , , , , , 0.14, 0.15, 0.16, 0.18, , , , , , , , , , 
Australia, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.23, , , , 2.33, , , , 2.62, 2.57, 2.73, 2.69, 2.52, 2.66, 2.77, 3.56, 2.72, 2.95, 2.89, 2.89
Australia, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.25, 2.28, 2.31, , 2.4, 2.48, 2.55, , , , , , , , , , , , 
Austria, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 2.69, 2.68, 2.68, 2.68, , 2.74, 2.81, 2.88, 2.95, , 2.95, 2.88, 2.8, 2.73, , 2.76, , 2.88, , 2.88, 2.85, 2.83, 2.81, 2.79, 2.76, 2.74, 2.72, , 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69
Austria, Industrial water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , 2.69, , , , , 2.67, , , , , 3.02, , , , , 2.66, , 2.86, , 2.9, , , , , , , , , 2.69, , , , , , , , , , , , 
Azerbaijan, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.26, 4.03, 2.95, 2.82, 2.95, 2.9, 3.18, 4.35, 3.77, 3.46, 2.88, 3.24, 3.14, 3.22, 3.39, 3.09, 2.98, 2.38, 2.53, 2.51, 3.11, 3.04, 3.13, 0.61, 0.67, 0.59, 0.53, 0.57, 
Azerbaijan, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57
Bahrain, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , 0.02, , , , , , , , , , , 0.02, 0.01, 0.01, , , , 
Bahrain, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , , , 0.01, 0.01, 0.01, 0.01
Bangladesh, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.23, , , 0.33, , , , , , , , , , , , , , , , , , 0.77, , , , , , , , , , , , 
