Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Afghanistan, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.15, , , , , 0.2, , , , , , , , , , , , , , , 
Afghanistan, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.25, 0.24, 0.24, 0.23, 0.22, 0.21, 0.2, 0.2, 0.19, 0.18, 0.17, 0.16, , 0.16, 0.17, 0.18, 0.19, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2
Albania, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , 0.28, 0.27, 0.28, 0.21, 0.24, 0.23
Albania, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55, , , , , 0.56, , , , , , , , , , , , , , , 
Albania, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.15, 0.19, 0.24, 0.28, 0.33, 0.37, 0.42, 0.46, 0.51, , 0.55, 0.55, 0.56, 0.56, , 0.53, 0.51, 0.48, 0.45, 0.42, 0.39, 0.36, 0.34, 0.31, , , , , , 
Algeria, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 0.66, , , , , , , , , , 1.12, , , , , , , , , , , , , , , , , , , , , , , , , 3.1, 3.39, 3.6, , , 
Algeria, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.72, , , , , , , , , , , , 3.02, , , , , , , , 
Algeria, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 0.68, 0.7, 0.73, 0.75, 0.77, 0.84, 0.91, 0.98, 1.05, , 1.18, 1.24, 1.3, 1.36, 1.42, 1.48, 1.54, 1.6, 1.66, , 1.83, 1.94, 2.05, 2.15, 2.26, 2.37, 2.48, 2.59, 2.7, 2.8, 2.91, , 3.05, 3.07, , , , 3.6, 3.6, 3.6
Angola, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Angola, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.25, , , , , 0.32, , , , , , , , , , , , , , , 
Angola, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.08, 0.09, 0.11, 0.12, 0.14, 0.15, 0.16, 0.18, 0.19, 0.2, 0.22, 0.23, , 0.26, 0.28, 0.29, 0.3, , 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32
Antigua and Barbuda, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , 
Antigua and Barbuda, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , 
Antigua and Barbuda, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
Argentina, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.56, , , , , , , , , , , , , , , , 5.85, , , , , , , , , 
Argentina, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.64, 4.72, 4.8, 4.88, 4.96, 5.04, 5.12, 5.21, 5.29, 5.37, 5.45, 5.53, 5.61, 5.69, 5.77, , 5.85, 5.85, 5.85, 5.85, 5.85, 5.85, 5.85, 5.85, 5.85
Armenia, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.86, , , , , , , , , , , , , , , , 0.6, 0.6, 0.54, 0.55, 0.49, 0.53, 0.67, 0.7, 0.61, 0.65
Armenia, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.62, , 0.52, 0.59, 0.84, 0.7, 0.84, , , , , , , , , , , , , , 
Armenia, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.82, 0.77, 0.72, 0.67, , 0.57, , , , , , 0.79, 0.75, 0.7, 0.65, , , , , , , , , , 
Australia, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.44, , , , 4.19, , , , 4.13, 3.74, 3.26, 3.74, 4.26, 4.17, 4.01, 3.91, 2.61, 2.3, 2.33, 2.29
Australia, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.38, 4.32, 4.25, , 4.18, 4.16, 4.14, , , , , , , , , , , , 
Austria, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 0.59, 0.62, 0.65, 0.68, , 0.7, 0.7, 0.69, 0.69, , 0.69, 0.69, 0.69, 0.69, , 0.69, , 0.68, , 0.66, 0.66, 0.65, 0.64, 0.63, 0.63, 0.62, 0.61, , 0.66, , 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72
Austria, Municipal water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , 0.56, , , , , 0.71, , , , , 0.69, , , , , 0.69, , 0.69, , 0.67, , , , , , , , , 0.61, , 0.72, , , , , , , , , , 
Azerbaijan, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.01, 0.86, 0.7, 0.6, 0.44, 0.36, 0.41, 0.86, 0.9, 0.73, 0.82, 0.82, 0.8, 0.81, 0.83, 0.6, 0.58, 0.64, 0.69, 0.66, 0.49, 0.55, 0.54, 0.43, 0.39, 0.37, 0.4, 0.4, 
Azerbaijan, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.4
Bahamas, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , , 
Bahamas, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , 
Bahamas, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03
Bahrain, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.09, , , , , , , , , , , , , 0.18, , , , , , , , , , , 0.27, 0.28, 0.28, , , , 
Bahrain, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.1, 0.11, 0.11, 0.12, 0.13, 0.13, 0.14, 0.15, 0.15, 0.16, 0.16, 0.17, , 0.19, 0.2, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.26, , , , 0.28, 0.28, 0.28, 0.28
Bangladesh, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.68, , , 1.7, , , , , , , , , , , , , , , , , , 3.6, , , , , , , , , , , , 
Bangladesh, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 1.02, 1.36, , 1.81, 1.91, 2.02, 2.12, 2.23, 2.33, 2.44, 2.54, 2.65, 2.76, 2.86, 2.97, 3.07, 3.18, 3.28, 3.39, 3.49, , 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6
Barbados, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , 0.02, , , , , , , , , , , , , , , 
Barbados, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02
Belarus, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.73, 0.71, 0.57, 0.52, 0.53, 0.55, 0.55
Belarus, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.75, , , , , 0.85, , , , , 0.8, , , , , 0.59, , , 0.55, , , , , , , 
Belarus, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.77, 0.79, 0.81, 0.83, , 0.84, 0.83, 0.82, 0.81, , 0.76, 0.72, 0.67, 0.63, , 0.58, 0.56, , , , , , , , 
Belgium, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 0.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Belgium, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 0.98, 0.96, 0.94, 0.92, 0.9, 0.89, 0.87, 0.85, 0.83, 0.82, 0.8, 0.78, 0.76, 0.74, , 0.8, , 0.83, 0.79, , 0.74, , 0.74, 0.74, , 0.73, , , , 0.71, 0.72, , , , , 0.74, 0.74, 0.74, 0.74, 0.74
Belgium, Municipal water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.73, , 0.87, , , 0.75, , 0.74, , , 0.74, , 0.73, 0.7, 0.71, , , 0.72, 0.73, 0.72, 0.74, , , , , 
Belize, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , 0.01, , , , , , , , , , , , , , , , , , , , 
Belize, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, , 0.01, 0.01, 0.01, 0.01, , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
Benin, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , 0.03, , , , , , , 0.04, , , , , , , , , , , , , , 0.16, 0.15, 0.14, , , 
Benin, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Benin, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , 0.03, 0.03, 0.03, 0.03, , 0.03, 0.03, 0.03, , 0.03, 0.04, 0.04, 0.04, 0.04, 0.04, , 0.05, 0.06, 0.07, 0.08, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.15, , , , 0.14, 0.14, 0.14
Bhutan, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , , , , 
Bhutan, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02
Bolivia (Plurinational State of), Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.12, , , , , , , , , , , , , , , , , , , , , , 0.14, , , , , , , , , , , 
Bolivia (Plurinational State of), Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.12, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.14, , 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14
Bosnia and Herzegovina, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.36, 0.36, 0.36, 0.35, 0.37, 0.36, 0.37, 0.35, 0.36, 0.37, 0.37, 0.36, 0.36, 0.35, 0.34, 0.34, 0.35, 0.36, 0.32, 0.31, 0.31
Botswana, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.04, , , , , , , , 0.08, , , , , , , , , , , 0.09, 0.08, , 0.09, 0.09, 0.1, 0.1, 0.1, 0.1, 0.11
Botswana, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, , , , , , , , , , 0.09, , , , , , , , , , , , , , , 
Botswana, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.04, 0.05, , 0.06, 0.06, 0.07, 0.07, , 0.08, 0.08, 0.08, 0.09, , 0.09, 0.09, 0.09, 0.09, 0.09, , , 0.09, , , , , , , 
Brazil, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 11.5, , , , , , , , , , 16.23, , , , 17.21, , , , 16.31, 16.47, 16.59, 16.74, 15.85, 15.98, 16.13
Brazil, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 11.97, 12.45, 12.92, 13.39, 13.87, 14.34, 14.81, 15.28, 15.76, , 16.48, 16.72, 16.96, , 16.98, 16.76, 16.54, , , , , , , 
Brunei Darussalam, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15
Brunei Darussalam, Municipal water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.15, 0.14, 0.14, 0.14, 0.14, 0.15, , , , , , , , , , , 
Bulgaria, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , 0.42, , , , , , , , , , , , , , , , , , , , , , 0.94, 0.93, 0.95, 0.94, 0.89, 0.9, 0.89, 0.91, 0.86, 0.87, 0.84
Bulgaria, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , 0.48, 0.55, 0.61, 0.68, 0.74, 0.81, 0.87, 0.94, 1, 1.07, 1.13, , , , 1.06, 1.04, 1.03, 1.02, 1.01, , , , , , , , , , , , , 
Bulgaria, Municipal water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2, 1.09, 1.07, , , , , , 1.02, 0.98, , , , , , , , , , , 
Burkina Faso, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 0.06, , , , , , , 0.07, , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , 
Burkina Faso, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 0.07, , , , , 0.09, , , , , 0.28, , , , , 0.38, , , , , , , , , , , , , , , 
Burkina Faso, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , 0.06, 0.06, 0.07, 0.07, , 0.07, , 0.08, 0.08, , 0.09, 0.1, , 0.19, , 0.3, 0.32, 0.34, 0.36, , 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38
Burundi, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.04, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Burundi, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, , , , , 0.04, , , , , , , , , , , , , , , 
Burundi, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, , 0.05, 0.05, 0.05, 0.04, , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04
Cabo Verde, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cabo Verde, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cambodia, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , 0.1, , , , , , , , , , , , , , 
Cambodia, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.03, 0.03, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.06, 0.06, 0.07, 0.07, 0.08, 0.08, 0.08, 0.09, 0.09, 0.09, , 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Cameroon, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.18, , , , , 0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cameroon, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.16, , , , , 0.25, , , , , , , , , , , , , , , 
Cameroon, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.18, 0.18, 0.18, 0.18, , 0.18, 0.18, 0.18, 0.17, 0.17, 0.17, 0.16, , 0.18, 0.2, 0.21, 0.23, , 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25
Canada, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.12, , 5.03, , 5.02, , 4.89, , 4.87, 
Canada, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.12, 5.14, 5.16, 5.18, , 5.31, , 5.46, 5.52, 5.57, 5.62, 5.67, 5.72, 5.77, 5.83, , 5.7, 5.52, 5.32, , 5.08, , 5.03, , 4.95, , 4.88, , 4.87
Canada, Municipal water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , 5.1, , , , , 5.2, , 5.41, , , , , , , , , 5.88, , , , , , , , , , , , , 
Central African Republic, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Central African Republic, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, , , , , 0.06, , , , , , , , , , , , , , , 
Central African Republic, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, , 0.06, 0.06, 0.06, 0.06, , 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06
Chad, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chad, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.09, , , , , 0.1, , , , , , , , , , , , , , , 
