Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Long-term average annual precipitation in depth, mm/year, , 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, , 
Afghanistan, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 327, 327
Afghanistan, Long-term average annual precipitation in volume, 10^9 m3/year, E, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, 213.49, , 
Afghanistan, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 213.49, 213.49
Afghanistan, National Rainfall Index (NRI), mm/year, I, , 300.84, 294.68, 288.52, 282.36, , 276.9, 277.6, 278.3, 279, , 286.8, 293.9, 301, 308.1, 315.2, , 313.15, 304, 294.85, 285.7, 276.55, , 302.15, , 328.92, 320.94, 312.96, 304.98, , 281, 265, 249, 233, 217, 201, , 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185
Afghanistan, National Rainfall Index (NRI), mm/year, X, 307, , , , , 276.2, , , , , 279.7, , , , , , 322.3, , , , , , 267.4, , 336.9, , , , , 297, , , , , , , 185, , , , , , , , , , , , , , , , , , , , 
Albania, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1485, , , , , , , , , , , , , , , , , , , , 
Albania, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1485, 1485
Albania, Long-term average annual precipitation in depth, mm/year, X, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, , 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, 1485, , 
Albania, Long-term average annual precipitation in volume, 10^9 m3/year, E, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 42.69, 41.18, 41.18, , 
Albania, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 41.18, 41.18
Albania, National Rainfall Index (NRI), mm/year, I, , 1319.75, 1327.5, 1335.25, , 1343.2, 1343.4, 1343.6, 1343.8, , 1340.4, 1336.8, 1333.2, 1329.6, , 1282, 1238, 1194, 1150, 1106, , 1024.87, 987.73, 950.6, 913.47, 876.33, , 892.65, 946.1, 999.55, , 1063.38, 1073.75, 1084.13, 1094.5, 1104.88, 1115.25, 1125.63, , 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136, 1136
Albania, National Rainfall Index (NRI), mm/year, X, 1312, , , , 1343, , , , , 1344, , , , , 1326, , , , , , 1062, , , , , , 839.2, , , , 1053, , , , , , , , 1136, , , , , , , , , , , , , , , , , , 
Algeria, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 89, , , , , , , , , , , , , , , , , , , , 
Algeria, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 89, 89
Algeria, Long-term average annual precipitation in depth, mm/year, X, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, , 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, , 
Algeria, Long-term average annual precipitation in volume, 10^9 m3/year, E, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, , 
Algeria, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 211.97, 211.97
Algeria, National Rainfall Index (NRI), mm/year, I, , 292.1, 295.4, 298.7, 302, 305.3, 308.6, , 304.53, 297.17, , 295.78, 301.77, 307.75, 313.73, 319.72, , 318.22, 310.74, 303.26, 295.78, , 290.63, 292.97, 295.3, 297.63, 299.97, , 291.45, 280.6, 269.75, , 253.1, 247.3, , 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5
Algeria, National Rainfall Index (NRI), mm/year, X, 288.8, , , , , , , 311.9, , , 289.8, , , , , , 325.7, , , , , 288.3, , , , , , 302.3, , , , 258.9, , , 241.5, , , , , , , , , , , , , , , , , , , , , , 
Andorra, Long-term average annual precipitation in volume, 10^9 m3/year, I, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, 0.47, 0.47, 0.47, , 0.47, , 0.47, 0.47, , 0.47, 0.47, 0.47
Andorra, Long-term average annual precipitation in volume, 10^9 m3/year, X, , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , , , , 0.47, , 0.47, , , 0.47, , , 
Angola, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1010, , , , , , , , , , , , , , , , , , , , 
Angola, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1010, 1010
