Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Total population, 1000 inhab, X, 9744.78, 9956.32, 10174.84, 10399.93, 10637.06, 10893.78, 11173.64, 11475.44, 11791.22, 12108.96, 12412.95, 12689.16, 12943.09, 13171.31, 13341.2, 13411.06, 13356.51, 13171.67, 12882.53, 12537.73, 12204.29, 11938.21, 11736.18, 11604.53, 11618, 11868.88, 12412.31, 13299.02, 14485.55, 15816.6, 17075.73, 18110.66, 18853.44, 19357.13, 19737.76, 20170.84, 20779.95, 21606.99, 22600.77, 23680.87, 24726.68, 25654.28, 26433.05, 27100.54, 27722.28, 28394.81, 29185.51, 30117.41, 31161.38, 32269.59, 33370.79, 34413.6, 35383.03, 36296.11, 37171.92, 38041.75, 38928.35
Albania, Total population, 1000 inhab, X, 1843.63, 1896.17, 1947.83, 1998.74, 2049.21, 2099.73, 2150.71, 2202.19, 2254.06, 2306.29, 2358.85, 2411.73, 2464.98, 2518.68, 2572.85, 2627.51, 2682.69, 2737.03, 2790.28, 2844.87, 2904.14, 2969.67, 3044.21, 3124.89, 3200.98, 3257.93, 3286.07, 3280.39, 3245.89, 3195.2, 3146.52, 3112.94, 3098.7, 3099.75, 3110.68, 3122.7, 3129.24, 3129.7, 3126.19, 3118.02, 3104.89, 3086.81, 3063.02, 3034, 3002.68, 2973.05, 2948.02, 2928.59, 2914.1, 2903.79, 2896.3, 2890.51, 2886.44, 2884.17, 2882.74, 2880.92, 2877.8
Algeria, Total population, 1000 inhab, X, 12221.67, 12550.89, 12902.63, 13275.03, 13663.58, 14061.72, 14464.99, 14872.25, 15285.99, 15709.83, 16149.02, 16607.71, 17085.8, 17582.9, 18102.27, 18647.81, 19221.67, 19824.3, 20452.9, 21101.88, 21763.58, 22431.5, 23102.39, 23774.28, 24443.47, 25106.19, 25758.87, 26400.48, 27028.33, 27635.51, 28213.77, 28757.78, 29266.4, 29742.98, 30192.75, 30623.41, 31042.24, 31451.51, 31855.11, 32264.16, 32692.16, 33149.72, 33641, 34166.97, 34730.61, 35333.88, 35977.46, 36661.44, 37383.89, 38140.13, 38923.69, 39728.03, 40551.39, 41389.19, 42228.41, 43053.05, 43851.04
Andorra, Total population, 1000 inhab, X, 17.47, 18.55, 19.65, 20.76, 21.89, 23.06, 24.28, 25.56, 26.89, 28.23, 29.52, 30.7, 31.78, 32.77, 33.74, 34.82, 36.07, 37.5, 39.11, 40.87, 42.71, 44.6, 46.52, 48.45, 50.43, 52.45, 54.51, 56.67, 58.89, 60.97, 62.68, 63.85, 64.36, 64.33, 64.14, 64.37, 65.39, 67.34, 70.05, 73.18, 76.24, 78.87, 80.99, 82.68, 83.86, 84.46, 84.45, 83.75, 82.43, 80.77, 79.21, 78.01, 77.3, 77, 77.01, 77.14, 77.27
Angola, Total population, 1000 inhab, X, 5735.04, 5770.57, 5781.21, 5774.24, 5771.65, 5803.25, 5890.36, 6040.78, 6248.55, 6496.96, 6761.38, 7024, 7279.51, 7533.73, 7790.71, 8058.07, 8341.29, 8640.45, 8952.95, 9278.1, 9614.75, 9962, 10320.11, 10689.25, 11068.05, 11454.78, 11848.39, 12248.9, 12657.37, 13075.05, 13503.75, 13945.21, 14400.72, 14871.57, 15359.6, 15866.87, 16395.47, 16945.75, 17519.42, 18121.48, 18758.15, 19433.6, 20149.9, 20905.36, 21695.63, 22514.28, 23356.25, 24220.66, 25107.93, 26015.78, 26941.78, 27884.38, 28842.49, 29816.77, 30809.79, 31825.29, 32866.27
Antigua and Barbuda, Total population, 1000 inhab, X, 57.64, 58.7, 59.91, 61.24, 62.52, 63.55, 64.18, 64.36, 64.13, 63.65, 63.12, 62.67, 62.37, 62.16, 62.04, 61.95, 61.87, 61.8, 61.78, 61.79, 61.79, 61.79, 61.75, 61.72, 61.77, 62.01, 62.53, 63.37, 64.47, 65.78, 67.2, 68.67, 70.17, 71.7, 73.22, 74.67, 76.02, 77.21, 78.3, 79.3, 80.34, 81.47, 82.7, 84.03, 85.4, 86.75, 88.03, 89.25, 90.41, 91.52, 92.56, 93.57, 94.53, 95.43, 96.29, 97.12, 97.93
Argentina, Total population, 1000 inhab, X, 21824.42, 22159.65, 22494.03, 22828.87, 23168.27, 23517.61, 23880.56, 24259.56, 24653.17, 25056.48, 25462.3, 25865.78, 26264.68, 26661.4, 27061.05, 27471.04, 27896.53, 28338.51, 28794.55, 29262.05, 29737.09, 30216.28, 30698.96, 31184.42, 31668.95, 32148.13, 32618.65, 33079, 33529.33, 33970.11, 34402.67, 34828.17, 35246.37, 35657.43, 36063.46, 36467.22, 36870.79, 37275.65, 37681.75, 38087.87, 38491.97, 38892.93, 39289.88, 39684.29, 40080.16, 40482.79, 40895.75, 41320.5, 41755.2, 42196.03, 42637.51, 43075.42, 43508.46, 43937.14, 44361.15, 44780.68, 45195.77
Armenia, Total population, 1000 inhab, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3442.82, 3363.11, 3283.67, 3217.35, 3168.22, 3133.09, 3108.69, 3089.02, 3069.59, 3050.69, 3033.98, 3017.93, 3000.72, 2981.27, 2958.31, 2932.62, 2907.62, 2888.09, 2877.32, 2876.54, 2884.23, 2897.59, 2912.41, 2925.55, 2936.14, 2944.79, 2951.74, 2957.73, 2963.24
Australia, Total population, 1000 inhab, X, 11065.42, 11313.19, 11593.41, 11899.64, 12215.7, 12518.94, 12793.03, 13033.13, 13244.17, 13431.79, 13605.57, 13773.29, 13935.73, 14092.55, 14249.4, 14413, 14588.41, 14777.24, 14979.2, 15194.64, 15423.17, 15663.66, 15917.57, 16183.17, 16452.26, 16713.99, 16960.6, 17189.24, 17402.17, 17603.21, 17798.53, 17993.07, 18189.28, 18387.21, 18587.02, 18788.19, 18991.43, 19194.67, 19401.37, 19624.17, 19879.65, 20178.54, 20526.3, 20916.34, 21332.28, 21750.85, 22154.68, 22538, 22903.95, 23254.91, 23596.42, 23932.5, 24262.71, 24584.62, 24898.15, 25203.2, 25499.88
Austria, Total population, 1000 inhab, X, 7256.09, 7305.16, 7352.24, 7397.17, 7439.58, 7479.35, 7516.24, 7550.34, 7581.12, 7607.06, 7626.29, 7637.69, 7640.75, 7636.58, 7627.76, 7617.88, 7609.75, 7604.51, 7602.18, 7603.1, 7607.29, 7614.87, 7625.39, 7639.35, 7658.84, 7686.57, 7723.95, 7772.7, 7830.93, 7892.09, 7947.21, 7990.12, 8017.86, 8032.88, 8041.05, 8051.11, 8069.28, 8097.75, 8134.41, 8175.85, 8216.81, 8253.65, 8285.34, 8313.74, 8341.53, 8372.66, 8409.95, 8453.5, 8502.23, 8556.19, 8615.21, 8678.66, 8747.3, 8819.9, 8891.39, 8955.1, 9006.4
