Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Afghanistan, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , 843.24, 925.92, 1007.38, 1090.81, 1180.89, 1281.87, 1397.36, 1528.41, 1672.88, 1823.81, 1972.04, 2115.41, 2250.08, 2201.84, 2110.63, 1975.51, 1803.93, 1619.57, 1449.75, 1311.8, 1207.57, 1131.87, 1075.03, 1027.44, 1005.46, 976.07, 939.55, 899.03, 858.79, 823.19, 794.13, 770.74, 751.75, 734.89, 717.49, 698.05, 676.45, 653.79, 631.33, 610.5, 592, 575.78, 561.3, 548.07, 535.54, 523.34
Albania, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , 365.18, 363.3, 364.63, 367.85, 370.92, 372.29, 417.81, 461.48, 503.5, 545.05, 587.3, 559.31, 532, 505.38, 479.39, 453.9, 415.41, 411.25, 407.32, 403.08, 398.13, 392.35, 385.83, 378.7, 371.16, 318.28, 314.57, 378.62, 332.32, 392.58, 273.13
Algeria, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , 138.26, 141.2, 143.92, 146.41, 148.62, 150.53, 152.17, 153.56, 154.68, 155.51, 156.07, 156.37, 156.46, 156.38, 156.22, 156.03, 160.16, 164.04, 167.73, 171.27, 174.7, 174.81, 175, 175.32, 175.8, 176.48, 177.34, 178.36, 179.52, 180.75, 182.01, 185.18, 190.26, 195.17, 199.85, 204.22, 208.27, 211.98, 215.35, 218.36, 221.03, 223.36, 225.36, 229.71, 233.73, 237.46, 246.06, 252.77, 247.75, 243, 238.58
Angola, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 44.9, 44.48, 44.06, 43.64, 43.22, 42.8, 42.38, 41.95, 41.5, 41.05, 40.58, 40.09, 39.59, 39.07, 38.57, 38.05, 37.51, 36.93, 36.32, 35.03, 33.76, 32.53, 31.35, 30.22, 29.14, 28.11, 27.13, 26.2, 25.31, 24.47, 23.67, 22.91, 22.18, 21.47
Antigua and Barbuda, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , 79.96, 82.48, 84.59, 86.35, 87.89, 89.32, 90.63, 91.86, 93.05, 94.28, 95.59, 98.08, 98.6, 100.21, 101.74, 103.11, 106.92, 110.51, 113.92, 117.26, 120.58, 123.89, 127.2, 125.66, 124.24, 122.91, 121.66, 120.51, 119.44, 118.41, 117.43
Argentina, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , 1050.84, 1037.14, 1023.73, 1010.33, 996.77, 983.04, 969.26, 955.54, 942.01, 928.78, 915.85, 903.25, 891.06, 879.38, 868.28, 857.76, 847.77, 838.29, 829.25, 820.6, 821.52, 822.58, 823.74, 824.92, 826.08, 834.96, 843.63, 852.11, 860.46, 868.7, 876.86, 884.92, 892.79, 900.35, 907.54, 914.32, 904.8, 895.34, 886.07, 877.07, 868.34, 859.86, 851.65, 843.67, 835.92
Armenia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 909.13, 869.53, 824.97, 776.72, 726.59, 675.76, 624.07, 571.33, 654.62, 934.01, 785.57, 955.61, 962.62, 874.37, 783.1, 688.49, 847.55, 1019.68, 1019.64, 981.83, 1117.74, 1083.05, 974.6, 919.46, 968.65, 954.7
Australia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1055.49, 1187.74, 1104.87, 1219.95, 1201.49, 1183.3, 1165.41, 1147.78, 1130.52, 1080.63, 1030.95, 980.76, 929.85, 856.82, 784.63, 714.21, 646.41, 617.03, 591.71, 699.4, 849.2, 789.95, 724.12, 701.21, 708.5, 717.79, 624.5, 539.02
Austria, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , 439.2, 445.75, 452.14, 458.33, 464.33, 470.11, 475.42, 480.5, 485.21, 489.38, 492.9, 480.59, 467.88, 455.18, 443.01, 431.67, 442.34, 453.65, 454.65, 455.55, 450.88, 445.66, 440.04, 433.86, 427.77, 421.94, 416.43, 411.13, 405.89, 410.73, 415.23, 413.1, 410.73, 408.14, 405.34, 402.38, 399.22, 395.93, 392.75, 389.96, 387.74
Azerbaijan, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2168.38, 2155.39, 1904.26, 1796.25, 1713.54, 1578.91, 1281.03, 1485.95, 1367.7, 1221.35, 1217.21, 1288.37, 1354.07, 1411.33, 1432.24, 1406.43, 1330.21, 1280.21, 1280.46, 1287.86, 1292, 1332.84, 1275.33, 1214.73, 1220, 1231.04, 1222.87, 1253.02, 1240.63
